variable,,,
comp_id,comp_id,,
begin,begin of balance sheet (date),Date,
end,end of balance sheet (date),Date,
COGS,costs of goods sold,numeric,(euros)
amort,amortization,numeric,(euros)
curr_assets,current assets,numeric,(euros)
curr_liab,current liabilities,numeric,(euros)
extra_exp,extra_expenditures,numeric,(euros)
extra_inc,extra income,numeric,(euros)
extra_profit_loss,extra profit loss,numeric,(euros)
finished_prod,finished production,numeric,(euros)
fixed_assets,fixed assets,numeric,(euros)
inc_bef_tax,incomde before tax,numeric,(euros)
intang_assets,intangible assets,numeric,(euros)
inventories,inventories,numeric,(euros)
liq_assets,liquid assets,numeric,(euros)
material_exp,material expenditure,numeric,(euros)
net_dom_sales,net domestic sales,numeric,(euros)
net_exp_sales,net export sales,numeric,(euros)
personnel_exp,personnel expenditure,numeric,(euros)
profit_loss_year,"Profit/loss, annuak",numeric,(euros)
sales,Total sales,numeric,(euros)
share_eq,Shareholder equity,numeric,(euros)
subscribed_cap,Subscribed capital,numeric,(euros)
tang_assets,Tangible assets,numeric,(euros)
wages,Wages (wage bill),numeric,(euros)
,,,
balsheet_flag,balsheet_flag,binary,
balsheet_length,balsheet_length,,
balsheet_notfullyear,balsheet_notfullyear,binary,
year,year,date,
founded_year,Firm founded year,date,
exit_year,Firm exit year,date,
ceo_count,Number of CEO/Top execs,numeric,
foreign,Share of foreign CEOs,numeric,percent
female,Share of female CEOs,numeric,percent
birth_year,Avg birth year of CEOs,numeric,
inoffice_days,Avg time CEOS are in office,numeric,
gender,Gender,categorical," (female only, male only, mix)"
origin,Origin of CEO ,categorical,"(domestic, foreign, mix)"
nace_main,"NACE industry code, 4 digits",categorical,
ind2,"NACE industry code, 2 digits",categorical,
ind,broad industry code,categorical,
urban_m,Firm HQ ,categorical,"(1: capital city, 2: other big city 3: other)"
region_m,Firm HQ region ,categorical,"(Central, West, East)"
founded_date,Firm founded date,date,
exit_date,Firm exit date,date,
labor_avg,Number of emplyoees (annual average),numeric,"N/12 --- (annual average / 12, it's not ideal, sorry)"
,,,
,,,
,,,
,,,
,,,
,,,
v 0.92. 2021-02-04,,,
